Subject,Start Date,Start Time,End Date,End Time,Description
M1,01/06/2015,06:55 AM,01/06/2015,03:10 PM,GREN LLEC 
M1,01/07/2015,06:55 AM,01/07/2015,03:10 PM,GREN LLEC 
M1,01/08/2015,06:55 AM,01/08/2015,03:10 PM,GREN AMAY 
M1,01/09/2015,06:55 AM,01/09/2015,03:10 PM,JFIR GREN AMAY 
M1,01/12/2015,06:55 AM,01/12/2015,03:10 PM,JFIR GREN DSEN 
M1,01/13/2015,06:55 AM,01/13/2015,03:10 PM,JFIR GREN AMAY JFRO 
M1,01/14/2015,06:55 AM,01/14/2015,03:10 PM,JFIR GREN AMAY JFRO 
M1,01/15/2015,06:55 AM,01/15/2015,03:10 PM,JFIR GREN AMAY JFRO 
M1,01/16/2015,06:55 AM,01/16/2015,03:10 PM,JFIR GREN JFRO 
M1,01/19/2015,06:55 AM,01/19/2015,03:10 PM,GREN 
M1,01/20/2015,06:55 AM,01/20/2015,03:10 PM,GREN 
M1,01/21/2015,06:55 AM,01/21/2015,03:10 PM,GREN SELM 
M1,01/22/2015,06:55 AM,01/22/2015,03:10 PM,GREN SELM 
M1,01/23/2015,06:55 AM,01/23/2015,03:10 PM,JFIR GREN AMAY JBOU 
M1,01/26/2015,06:55 AM,01/26/2015,03:10 PM,JFIR FBIL GREN LLEC FGOR 
M1,01/27/2015,06:55 AM,01/27/2015,03:10 PM,JFIR FBIL GREN LLEC FGOR 
M1,01/28/2015,06:55 AM,01/28/2015,03:10 PM,JFIR FBIL GREN TGOR FGOR JBOU 
M1,01/29/2015,06:55 AM,01/29/2015,03:10 PM,JFIR FBIL GREN TGOR FGOR JBOU 
M1,01/30/2015,06:55 AM,01/30/2015,03:10 PM,JFIR FBIL GREN TGOR FGOR 
A1,02/02/2015,03:05 PM,02/02/2015,11:20 PM,FBIL AMAY TGOR 
A1,02/03/2015,03:05 PM,02/03/2015,11:20 PM,JFIR DBOU 
A1,02/04/2015,03:05 PM,02/04/2015,11:20 PM,JFIR DBOU SELM 
A1,02/05/2015,03:05 PM,02/05/2015,11:20 PM,JFIR DBOU AMAY SELM 
A1,02/06/2015,03:05 PM,02/06/2015,11:20 PM,JFIR AMAY DSEN SELM 
A1,02/09/2015,03:05 PM,02/09/2015,11:20 PM,TGOR JFRO SELM 
A1,02/10/2015,03:05 PM,02/10/2015,11:20 PM,TGOR JFRO SELM 
A1,02/11/2015,03:05 PM,02/11/2015,11:20 PM,TGOR JFRO SELM 
A1,02/12/2015,03:05 PM,02/12/2015,11:20 PM,TGOR JFRO SELM 
A1,02/13/2015,03:05 PM,02/13/2015,11:20 PM,DBOU DSEN SELM 
A1,02/16/2015,03:05 PM,02/16/2015,11:20 PM,DBOU SELM 
A1,02/17/2015,03:05 PM,02/17/2015,11:20 PM,DBOU SELM 
A1,02/18/2015,03:05 PM,02/18/2015,11:20 PM,JFIR DBOU DSEN LLEC 
A1,02/19/2015,03:05 PM,02/19/2015,11:20 PM,JFIR DBOU DSEN LLEC JFRO 
A1,02/20/2015,03:05 PM,02/20/2015,11:20 PM,JFIR DBOU DSEN LLEC JFRO 
M1,02/23/2015,06:55 AM,02/23/2015,03:10 PM,JFIR GREN AMAY JBOU 
M1,02/24/2015,06:55 AM,02/24/2015,03:10 PM,JFIR FBIL AMAY LLEC 
M1,02/25/2015,06:55 AM,02/25/2015,03:10 PM,JFIR FBIL AMAY LLEC 
M1,02/26/2015,06:55 AM,02/26/2015,03:10 PM,JFIR FBIL GREN LLEC FGOR 
M1,02/27/2015,06:55 AM,02/27/2015,03:10 PM,JFIR FBIL GREN LLEC FGOR 
M1,03/02/2015,06:55 AM,03/02/2015,03:10 PM,DKOU MWEM 
M1,03/03/2015,06:55 AM,03/03/2015,03:10 PM,DKOU MWEM GREN 
M1,03/04/2015,06:55 AM,03/04/2015,03:10 PM,DKOU MWEM GREN 
M1,03/05/2015,06:55 AM,03/05/2015,03:10 PM,DKOU MWEM GREN DSEN 
M1,03/06/2015,06:55 AM,03/06/2015,03:10 PM,DKOU GREN DSEN 
M1,03/09/2015,06:55 AM,03/09/2015,03:10 PM,MWEM DSEN LLEC JBOU 
M1,03/10/2015,06:55 AM,03/10/2015,03:10 PM,MWEM DSEN LLEC JBOU 
M1,03/11/2015,06:55 AM,03/11/2015,03:10 PM,JFIR MWEM DSEN LLEC JBOU 
M1,03/12/2015,06:55 AM,03/12/2015,03:10 PM,JFIR LLEC JBOU 
M1,03/13/2015,06:55 AM,03/13/2015,03:10 PM,JFIR LLEC JBOU 
A1,03/16/2015,03:05 PM,03/16/2015,11:20 PM,DBOU SELM 
A1,03/17/2015,03:05 PM,03/17/2015,11:20 PM,DBOU SELM 
A1,03/18/2015,03:05 PM,03/18/2015,11:20 PM,DBOU SELM 
A1,03/19/2015,03:05 PM,03/19/2015,11:20 PM,DBOU SELM 
A1,03/20/2015,03:05 PM,03/20/2015,11:20 PM,DBOU SELM 
N1,03/23/2015,11:25 PM,03/24/2015,07:00 AM,JFIR 
N1,03/24/2015,11:25 PM,03/25/2015,07:00 AM,JFIR 
N1,03/25/2015,11:25 PM,03/26/2015,07:00 AM,JFIR 
N1,03/26/2015,11:25 PM,03/27/2015,07:00 AM,JFIR 
N1,03/27/2015,11:25 PM,03/28/2015,07:00 AM,JFIR 
A1,03/30/2015,03:05 PM,03/30/2015,11:20 PM,LLEC 
A1,03/31/2015,03:05 PM,03/31/2015,11:20 PM,LLEC 
A1,04/01/2015,03:05 PM,04/01/2015,11:20 PM,
A1,04/02/2015,03:05 PM,04/02/2015,11:20 PM,
A1,04/03/2015,03:05 PM,04/03/2015,11:20 PM,LLEC HBEL 
M1,04/06/2015,06:55 AM,04/06/2015,03:10 PM,GREN 
M1,04/07/2015,06:55 AM,04/07/2015,03:10 PM,MWEM GREN LLEC RDAT RDEG 
M1,04/08/2015,06:55 AM,04/08/2015,03:10 PM,MWEM GREN LLEC RDAT RDEG 
M1,04/09/2015,06:55 AM,04/09/2015,03:10 PM,JFIR MWEM LLEC RDAT RDEG 
M1,04/10/2015,06:55 AM,04/10/2015,03:10 PM,JFIR MWEM LLEC RDAT RDEG 
M1,04/13/2015,06:55 AM,04/13/2015,03:10 PM,DBOU SELM RDAT RDEG 
M1,04/14/2015,06:55 AM,04/14/2015,03:10 PM,DBOU SELM RDAT RDEG 
M1,04/15/2015,06:55 AM,04/15/2015,03:10 PM,DBOU DSEN SELM RDAT 
M1,04/16/2015,06:55 AM,04/16/2015,03:10 PM,DBOU MWEM DSEN SELM RDAT RDEG 
M1,04/17/2015,06:55 AM,04/17/2015,03:10 PM,DBOU MWEM DSEN SELM RDAT RDEG 
M1,04/20/2015,06:55 AM,04/20/2015,03:10 PM,DBOU MWEM AMAY JFRO SELM RDAT 
M1,04/21/2015,06:55 AM,04/21/2015,03:10 PM,JFIR DBOU JFRO SELM RDAT 
M1,04/22/2015,06:55 AM,04/22/2015,03:10 PM,JFIR MWEM JFRO SELM RDAT 
M1,04/23/2015,06:55 AM,04/23/2015,03:10 PM,JFIR MWEM JFRO SELM RDAT 
M1,04/24/2015,06:55 AM,04/24/2015,03:10 PM,JFIR MWEM JFRO RDAT 
N1,04/27/2015,11:25 PM,04/28/2015,07:00 AM,JFIR 
N1,04/28/2015,11:25 PM,04/29/2015,07:00 AM,JFIR 
N1,04/29/2015,11:25 PM,04/30/2015,07:00 AM,JFIR 
N1,04/30/2015,11:25 PM,05/01/2015,07:00 AM,JFIR 
N1,05/01/2015,11:25 PM,05/02/2015,07:00 AM,
A1,05/04/2015,03:05 PM,05/04/2015,11:20 PM,DBOU AMAY RDAT 
A1,05/05/2015,03:05 PM,05/05/2015,11:20 PM,DBOU AMAY RDAT 
A1,05/06/2015,03:05 PM,05/06/2015,11:20 PM,DBOU AMAY RDAT 
M1,05/08/2015,06:55 AM,05/08/2015,03:10 PM,
A1,05/09/2015,03:05 PM,05/09/2015,11:20 PM,
A1,05/10/2015,03:05 PM,05/10/2015,11:20 PM,
M1,05/12/2015,06:55 AM,05/12/2015,03:10 PM,JFIR MWEM DSEN LLEC JFRO SELM 
M1,05/13/2015,06:55 AM,05/13/2015,03:10 PM,JFIR MWEM DSEN LLEC SELM 
M1,05/14/2015,06:55 AM,05/14/2015,03:10 PM,DSEN 
M1,05/15/2015,06:55 AM,05/15/2015,03:10 PM,JFIR MWEM DSEN TGOR 
A1,05/18/2015,03:05 PM,05/18/2015,11:20 PM,AMAY RDAT RDEG 
A1,05/19/2015,03:05 PM,05/19/2015,11:20 PM,DKOU AMAY RDAT RDEG 
A1,05/20/2015,03:05 PM,05/20/2015,11:20 PM,DKOU AMAY RDAT RDEG 
A1,05/21/2015,03:05 PM,05/21/2015,11:20 PM,DKOU DSEN RDAT RDEG 
A1,05/22/2015,03:05 PM,05/22/2015,11:20 PM,DKOU DSEN RDAT RDEG 
N1,05/24/2015,11:25 PM,05/25/2015,07:00 AM,DSEN 
N1,05/25/2015,11:25 PM,05/26/2015,07:00 AM,
N1,05/26/2015,11:25 PM,05/27/2015,07:00 AM,
N1,05/27/2015,11:25 PM,05/28/2015,07:00 AM,
N1,05/28/2015,11:25 PM,05/29/2015,07:00 AM,
M1,06/01/2015,06:55 AM,06/01/2015,03:10 PM,MWEM DSEN TGOR HBEL RDEG 
M1,06/02/2015,06:55 AM,06/02/2015,03:10 PM,MWEM TGOR HBEL RDEG 
M1,06/03/2015,06:55 AM,06/03/2015,03:10 PM,MWEM TGOR HBEL RDEG 
M1,06/04/2015,06:55 AM,06/04/2015,03:10 PM,MWEM TGOR HBEL RDEG 
M4,06/06/2015,04:55 AM,06/06/2015,01:10 PM,
CP,06/08/2015
M1,06/09/2015,06:55 AM,06/09/2015,03:10 PM,JFRO SELM RDAT RDEG 
M1,06/10/2015,06:55 AM,06/10/2015,03:10 PM,JFIR MWEM JFRO SELM RDAT RDEG 
M1,06/11/2015,06:55 AM,06/11/2015,03:10 PM,JFIR MWEM JFRO SELM RDAT RDEG 
M1,06/12/2015,06:55 AM,06/12/2015,03:10 PM,JFIR JFRO SELM RDAT RDEG 
M1,06/15/2015,06:55 AM,06/15/2015,03:10 PM,LLEC JFRO SELM RDAT 
M1,06/16/2015,06:55 AM,06/16/2015,03:10 PM,TGOR LLEC SELM RDAT 
M1,06/17/2015,06:55 AM,06/17/2015,03:10 PM,TGOR LLEC JFRO SELM RDAT 
M1,06/18/2015,06:55 AM,06/18/2015,03:10 PM,MWEM TGOR JFRO SELM RDAT 
M4,06/20/2015,04:55 AM,06/20/2015,01:10 PM,LLEC 
CP,06/22/2015
CP,06/23/2015
CP,06/24/2015
CP,06/25/2015
CP,06/26/2015
CP,06/29/2015
M1,06/30/2015,06:55 AM,06/30/2015,03:10 PM,GREN LLEC JBOU RDAT RDEG 
M1,07/01/2015,06:55 AM,07/01/2015,03:10 PM,GREN LLEC JBOU RDAT RDEG INAK 
M1,07/02/2015,06:55 AM,07/02/2015,03:10 PM,MWEM GREN LLEC JBOU RDAT RDEG INAK 
M1,07/04/2015,06:55 AM,07/04/2015,03:10 PM,DBOU 
N1,07/06/2015,11:25 PM,07/07/2015,07:00 AM,LLEC RDAT 
N1,07/07/2015,11:25 PM,07/08/2015,07:00 AM,LLEC RDAT 
N1,07/08/2015,11:25 PM,07/09/2015,07:00 AM,LLEC RDAT 
N1,07/09/2015,11:25 PM,07/10/2015,07:00 AM,LLEC RDAT 
N1,07/10/2015,11:25 PM,07/11/2015,07:00 AM,RDAT 
M1,07/14/2015,06:55 AM,07/14/2015,03:10 PM,RDAT 
A1,07/15/2015,03:05 PM,07/15/2015,11:20 PM,DBOU DKOU BBER 
A1,07/16/2015,03:05 PM,07/16/2015,11:20 PM,DBOU DKOU AMAY BBER 
A1,07/17/2015,03:05 PM,07/17/2015,11:20 PM,DKOU AMAY BBER 
M1,07/20/2015,06:55 AM,07/20/2015,03:10 PM,JFIR DBOU JBOU HBEL RDEG BBER INAK 
M1,07/21/2015,06:55 AM,07/21/2015,03:10 PM,DBOU TGOR HBEL RDEG BBER INAK 
M1,07/22/2015,06:55 AM,07/22/2015,03:10 PM,DBOU TGOR HBEL BBER INAK 
M4,07/25/2015,04:55 AM,07/25/2015,01:10 PM,HBEL 
M1,07/26/2015,06:55 AM,07/26/2015,03:10 PM,
M1,07/27/2015,06:55 AM,07/27/2015,03:10 PM,TGOR SELM JBOU RDEG INAK 
